n = 3793, bs = 1896.00, ins = 0.00
n = 9699, bs = 4849.00, ins = 0.00
n = 6088, bs = 3043.50, ins = 0.00
n = 4965, bs = 2482.00, ins = 0.00
n = 9013, bs = 4506.00, ins = 0.00
n = 2520, bs = 1259.50, ins = 0.00
n = 9968, bs = 4983.50, ins = 0.00
n = 6972, bs = 3485.50, ins = 0.00
n = 1332, bs = 665.50, ins = 0.00
n = 3487, bs = 1743.00, ins = 0.00
n = 4579, bs = 2289.00, ins = 0.00
n = 8786, bs = 4392.50, ins = 0.00
n = 6237, bs = 3118.00, ins = 0.00
n = 8753, bs = 4376.00, ins = 0.00
n = 2262, bs = 1130.50, ins = 0.00
n = 4873, bs = 2436.00, ins = 0.00
n = 1023, bs = 511.00, ins = 0.00
n = 9839, bs = 4919.00, ins = 0.00
n = 3270, bs = 1634.50, ins = 0.00
n = 3409, bs = 1704.00, ins = 0.00
n = 1672, bs = 835.50, ins = 0.00
n = 4589, bs = 2294.00, ins = 0.00
n = 5718, bs = 2858.50, ins = 0.00
n = 5148, bs = 2573.50, ins = 0.00
n = 6666, bs = 3332.50, ins = 0.00
n = 1991, bs = 995.00, ins = 0.00
n = 5184, bs = 2591.50, ins = 0.00
n = 4404, bs = 2201.50, ins = 0.00
n = 3268, bs = 1633.50, ins = 0.00
n = 4079, bs = 2039.00, ins = 0.00
n = 5677, bs = 2838.00, ins = 0.00
n = 6406, bs = 3202.50, ins = 0.00
n = 1752, bs = 875.50, ins = 0.00
n = 5993, bs = 2996.00, ins = 0.00
n = 40, bs = 19.50, ins = 0.00
n = 5821, bs = 2910.00, ins = 0.00
n = 8311, bs = 4155.00, ins = 0.00
n = 879, bs = 439.00, ins = 0.00
n = 4503, bs = 2251.00, ins = 0.00
n = 4509, bs = 2254.00, ins = 0.00
n = 7916, bs = 3957.50, ins = 0.00
n = 9768, bs = 4883.50, ins = 0.00
n = 9054, bs = 4526.50, ins = 0.00
n = 2668, bs = 1333.50, ins = 0.00
n = 4273, bs = 2136.00, ins = 0.00
n = 7843, bs = 3921.00, ins = 0.00
n = 2576, bs = 1287.50, ins = 0.00
n = 6454, bs = 3226.50, ins = 0.00
n = 5217, bs = 2608.00, ins = 0.00
n = 7547, bs = 3773.00, ins = 0.00
n = 9309, bs = 4654.00, ins = 0.00
n = 6899, bs = 3449.00, ins = 0.00
n = 8365, bs = 4182.00, ins = 0.00
n = 5910, bs = 2954.50, ins = 0.00
n = 1045, bs = 522.00, ins = 0.00
n = 9474, bs = 4736.50, ins = 0.00
n = 3646, bs = 1822.50, ins = 0.00
n = 8132, bs = 4065.50, ins = 0.00
n = 7734, bs = 3866.50, ins = 0.00
n = 991, bs = 495.00, ins = 0.00
